length	rule_num	min_genes	min_vpf_pct	max_pfam_pct	max_pvalue	max_switch	tpr	fpr	score
1000	1	0	30	100	0.2	100	38.11	0.40	18.11
1000	2	2	30	35	1	25	41.20	0.43	19.95
1000	3	0	5	25	0.02	25	41.40	0.43	20.15
2000	1	0	20	20	0.1	100	37.39	0.33	21.14
2000	2	2	55	25	1	100	44.09	0.35	26.59
2000	3	0	5	100	0.02	0	45.08	0.35	27.58
2000	4	5	0	100	0.02	25	45.81	0.35	28.31
2000	5	0	55	0	0.2	100	47.38	0.38	28.63
5000	1	0	30	15	0.5	25	49.70	0.23	38.45
5000	2	5	25	15	0.05	100	53.15	0.23	41.90
5000	3	10	0	20	0.05	10	56.25	0.23	45.00
5000	4	0	65	30	1	100	58.45	0.23	47.20
5000	5	0	35	15	0.5	100	59.01	0.23	47.76
10000	1	0	10	10	0.2	25	60.29	0.35	42.79
10000	2	0	15	30	0.02	100	65.87	0.35	48.37
10000	3	0	10	10	0.1	100	70.20	0.38	51.45
10000	4	0	65	0	1	100	72.04	0.38	53.29
10000	5	5	15	100	0.05	10	73.73	0.38	54.98
20000	1	0	10	10	0.2	25	62.67	0.25	50.17
20000	2	10	10	45	0.05	100	74.93	0.35	57.43
20000	3	0	35	25	1	100	81.56	0.38	62.81
20000	4	10	0	5	0.05	100	84.49	0.40	64.49
20000	5	0	5	20	0.05	10	85.48	0.40	65.48
50000	1	0	5	15	0.2	25	79.59	0.23	68.34
50000	2	0	45	30	1	100	85.41	0.23	74.16
50000	3	10	5	30	0.05	100	89.57	0.25	77.07
50000	4	5	20	15	1	100	92.98	0.28	79.23
50000	5	10	0	5	0.1	25	94.01	0.28	80.26
100000	1	0	5	15	0.2	25	81.11	0.15	73.61
100000	2	0	35	30	1	100	88.47	0.15	80.97
100000	3	10	5	40	0.05	100	93.01	0.15	85.51
100000	4	5	15	15	1	100	95.83	0.18	87.08
